food_id;food_name;kcal;protein;carbohydrate;fiber;img_path
1;Arroz, integral, cozido;123.5;2.6;25.8;2.7;NULL
2;Arroz, integral, cru;359.7;7.3;77.5;4.8;NULL
3;Arroz, tipo 1, cozido;128.3;2.5;28.1;1.6;NULL
4;Arroz, tipo 1, cru;357.8;7.2;78.8;1.6;NULL
5;Arroz, tipo 2, cozido;130.1;2.6;28.2;1.1;NULL
6;Arroz, tipo 2, cru;358.1;7.2;78.9;1.7;NULL
7;Aveia, flocos, crua;393.8;13.9;66.6;9.1;NULL
8;Biscoito, doce, maise ;442.8;8.1;75.2;2.1;NULL
9;Biscoito, doce, recheado com chocolate;471.8;6.4;70.5;3.0;NULL
10;Biscoito, doce, recheado com morango;471.2;5.7;71.0;1.5;NULL
11;Biscoito, doce, wafer, recheado de chocolate;502.5;5.6;67.5;1.8;NULL
12;Biscoito, doce, wafer, recheado de morango;513.4;4.5;67.4;0.8;NULL
13;Biscoito, salgado, cream cracker;431.7;10.1;68.7;2.5;NULL
14;Bolo, mistura para;418.6;6.2;84.7;1.7;NULL
15;Bolo, pronto, aipim;323.9;4.4;47.9;0.7;NULL
16;Bolo, pronto, chocolate;410.0;6.2;54.7;1.4;NULL
17;Bolo, pronto, coco;333.4;5.7;52.3;1.1;NULL
18;Bolo, pronto, milho;311.4;4.8;45.1;0.7;NULL
19;Canjica, branca, crua;357.6;7.2;78.1;5.5;NULL
20;Canjica, com leite integral;112.5;2.4;23.6;1.2;NULL
21;Cereais, milho, flocos, com sal;369.6;7.3;80.8;5.3;NULL
22;Cereais, milho, flocos, sem sal;363.3;6.9;80.4;1.8;NULL
23;Cereais, mingau, milho, infantil;394.4;6.4;87.3;3.2;NULL
24;Cereais, mistura para vitami ,  igo, cevada e aveia;381.1;8.9;81.6;5.0;NULL
25;Cereal mati l, milho;365.4;7.2;83.8;4.1;NULL
26;Cereal mati l, milho, açúcar;376.6;4.7;88.8;2.1;NULL
27;Creme de arroz, pó;386.0;7.0;83.9;1.1;NULL
28;Creme de milho, pó;333.0;4.8;86.1;3.7;NULL
29;Curau, milho verde;78.4;2.4;13.9;0.5;NULL
30;Curau, milho verde, mistura para;402.3;2.2;79.8;2.5;NULL
31;Farinha, de arroz, enriquecida;363.1;1.3;85.5;0.6;NULL
32;Farinha, de centeio, integral;335.8;12.5;73.3;15.5;NULL
33;Farinha, de milho, amarela;350.6;7.2;79.1;5.5;NULL
34;Farinha, de rosca;370.6;11.4;75.8;4.8;NULL
35;Farinha, de  igo;360.5;9.8;75.1;2.3;NULL
36;Farinha, láctea, de cereais;414.9;11.9;77.8;1.9;NULL
37;Lasanha, massa fresca, cozida;163.8;5.8;32.5;1.6;NULL
38;Lasanha, massa fresca, crua;220.3;7.0;45.1;1.6;NULL
39;Macarrão, instantâneo;435.9;8.8;62.4;5.6;NULL
40;Macarrão,  igo, cru;371.1;10.0;77.9;2.9;NULL
41;Macarrão,  igo, cru, com ovos;370.6;10.3;76.6;2.3;NULL
42;Milho, amido, cru;361.4;0.6;87.1;0.7;NULL
43;Milho, fubá, cru;353.5;7.2;78.9;4.7;NULL
44;Milho, verde, cru;138.2;6.6;28.6;3.9;NULL
45;Milho, verde, enlatado, dre do;97.6;3.2;17.1;4.6;NULL
46;Mingau  adicio l, pó;373.4;0.6;89.3;0.9;NULL
47;Pamonha, barra para cozimento, pré-cozida;171.2;2.6;30.7;2.4;NULL
48;Pão, aveia, forma;343.1;12.4;59.6;6.0;NULL
49;Pão, de soja;308.7;11.3;56.5;5.7;NULL
50;Pão, glúten, forma;253.0;12.0;44.1;2.5;NULL
